Brand,Saleprice,MRP,Weight,ProductType,Rating,ProductDetails,Description
bb Royal,429,449,200 g,veg,,"Foodgrains, Oil & Masala",Organic Walnut Kernels/Akharot
,,,,,,,
bb Royal,76,90,1 kg,veg,,"Foodgrains, Oil & Masala",Organic - Jowar Flour
,,,,,,,
Eco Fresh,110,110,500 g,veg,4.2,"Foodgrains, Oil & Masala",Organic Food - Jaggery Powder
,,,,,,,
24 Mantra,40,40,200 g,,4,"Foodgrains, Oil & Masala",Organic - Puffed Rice
,,,,,,,
bb Royal,31,61,20 g,veg,4.2,"Foodgrains, Oil & Masala",Organic - Cloves
,,,,,,,
bb Royal,68,99,1 kg,veg,4,"Foodgrains, Oil & Masala",Organic - Rice Flour
,,,,,,,
bb Royal,64,76,1 kg,veg,4,"Foodgrains, Oil & Masala",Organic - Ragi Whole/Finger Millet
,,,,,,,
bb Royal,20,25,200 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Barley
,,,,,,,
bb Royal,59,79,500 g,veg,4,"Foodgrains, Oil & Masala",Organic Barnyard Millet/Kudiraivali Rice
,,,,,,,
Organic Tattva,76.5,85,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Kala Chana
,,,,,,,
Organic Tattva,31.5,35,100 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Seeds - Flax
,,,,,,,
bb Royal,28,50,20 g,veg,4.2,"Foodgrains, Oil & Masala",Organic - Nutmeg/Jayaphal
,,,,,,,
bb Royal,60,79,500 g,veg,4,"Foodgrains, Oil & Masala",Organic Little Millet/Samai Rice
,,,,,,,
bb Royal,90,99,200 g,veg,4,"Foodgrains, Oil & Masala",Organic Watermelon Seeds
,,,,,,,
bb Royal,55,80,500 g,veg,,"Foodgrains, Oil & Masala",Organic - Horse Gram/Kulthi
,,,,,,,
bb Royal,85,99,20 g,veg,4.3,"Foodgrains, Oil & Masala",Organic - Mace Whole/Javitri
,,,,,,,
Organic Tattva,22.5,25,100 g,veg,4.2,"Foodgrains, Oil & Masala",Organic Seeds - Black Mustard
,,,,,,,
24 Mantra,40,40,100 g,veg,4.1,"Foodgrains, Oil & Masala",Organic - Fenugreek
,,,,,,,
BB Royal Organic,309,399,1 L,veg,4,"Foodgrains, Oil & Masala",Organic Cold Pressed Groundnut Cooking Oil
,,,,,,,
BB Royal Organic,409,429,1 L,veg,,"Foodgrains, Oil & Masala",Organic Cold Pressed Sesame Cooking Oil
,,,,,,,
24 Mantra,40,40,100 g,veg,4.3,"Foodgrains, Oil & Masala",Organic Powder - Turmeric
,,,,,,,
24 Mantra,315,350,1 L,veg,4,"Foodgrains, Oil & Masala",Organic Oil - Groundnut (Expeller Pressed)
,,,,,,,
24 Mantra,80,80,100 g,veg,4.4,"Foodgrains, Oil & Masala",Organic - Fennel
,,,,,,,
MeraKisan,39.6,44,250 g,veg,4.5,"Foodgrains, Oil & Masala",Organic Cowpea
,,,,,,,
24 Mantra,76.5,85,500 g,veg,4.3,"Foodgrains, Oil & Masala",Organic Flour - Besan
,,,,,,,
Organic Tattva,103.5,115,500 g,veg,3.9,"Foodgrains, Oil & Masala",Roasted Chana Dal
,,,,,,,
24 Mantra,40,40,100 g,veg,3.6,"Foodgrains, Oil & Masala",Organic Powder - Fenugreek
,,,,,,,
Organic Tattva,54,60,500 g,veg,3.8,"Foodgrains, Oil & Masala",Himalayan Pink Salt
,,,,,,,
Organic Tattva,81,90,500 g,veg,3.4,"Foodgrains, Oil & Masala",Coupea - White
,,,,,,,
24 Mantra,50,50,500 g,veg,4,"Foodgrains, Oil & Masala",Organic Flour - Bajra
,,,,,,,
Organic Tattva,54,60,500 g,veg,3.7,"Foodgrains, Oil & Masala",Bajra Flour
,,,,,,,
24 Mantra,190,190,100 g,veg,4.5,"Foodgrains, Oil & Masala",Organic Powder - Black Pepper
,,,,,,,
24 Mantra,55,55,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Rava - Idly
,,,,,,,
24 Mantra,261,290,100 g,veg,4.3,"Foodgrains, Oil & Masala",Organic Powder - Wheat Grass
,,,,,,,
24 Mantra,120,120,1 kg,veg,4.2,"Foodgrains, Oil & Masala",Organic - Red Rice
,,,,,,,
24 Mantra,45,45,500 g,,4.1,"Foodgrains, Oil & Masala",Organic Bran - Wheat
,,,,,,,
24 Mantra,130,130,500 g,veg,4.3,"Foodgrains, Oil & Masala",Organic Dal - Urad White (Split)
,,,,,,,
PRISTINE,135,135,100 g,veg,4.3,"Foodgrains, Oil & Masala",Fields Of Gold Organic Black Pepper - Whole
,,,,,,,
PRISTINE,170,170,500 g,veg,4.2,"Foodgrains, Oil & Masala",Fields Of Gold Organic Quinoa
,,,,,,,
PRISTINE,90,90,500 g,veg,3.5,"Foodgrains, Oil & Masala",Fields of Gold - Organic Little Millet
,,,,,,,
Fresho,16,20,1 pc,veg,,Fruits & Vegetables,Cabbage - Organically Grown
,,,,,,,
Fresho,159,198.75,1 kg,veg,,Fruits & Vegetables,Pomegranate -Organically Grown
,,,,,,,
Fresho,10,12.5,1 pc,veg,,Fruits & Vegetables,Aloe Vera - Organically grown
,,,,,,,
Fresho,12,15,250 g,veg,,Fruits & Vegetables,Ladies Finger - Organically Grown
,,,,,,,
Future Organics,100,100,500 g,veg,5,"Foodgrains, Oil & Masala",Sugar - Brown
,,,,,,,
Dhatu Organics & Naturals,120,120,500 g,veg,4.3,Gourmet & World Food,Organic Mixed Millet Flour
,,,,,,,
Dhatu Organics & Naturals,50,50,100 g,veg,4,Gourmet & World Food,Organic Flaxseeds
,,,,,,,
Dhatu Organics & Naturals,110,110,200 g,veg,3,Gourmet & World Food,Dosa Mix - Organic Sprouted Multi Pulse
,,,,,,,
Mimmo Organics,239,239,250 g,veg,,Baby Care,"Baby Food - Flower Pasta, Beetroot Multi-Millet, 10 Month+"
,,,,,,,
bb Royal,85,115,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic - Raw Peanuts
,,,,,,,
bb Royal,379,429,500 g,veg,,Snacks & Branded Foods,Organic  Kashmir Honey
,,,,,,,
Eco Fresh,150,150,900 g,veg,3.9,"Foodgrains, Oil & Masala",Organic Food - Whole Jaggery
,,,,,,,
